Size, Kernel, tlc, Gflops
128, 3, , 1.06083
128, 3, , 1.58555
128, 5, , 5.21783
128, 5, , 3.18755
256, 3, , 1.72211
256, 3, , 1.46358
256, 5, , 8.38056
256, 5, , 7.38018
512, 3, , 3.51347
512, 3, , 3.56928
512, 5, , 7.44727
512, 5, , 8.60617
1024, 3, , 3.20285
1024, 3, , 3.34237
1024, 5, , 10.5618
1024, 5, , 8.40205
2048, 3, , 2.99451
2048, 3, , 4.13753
2048, 5, , 10.7867
2048, 5, , 9.35143
